date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:33	2368/2368	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-940%22	https://static.itch.io/images/itchio-textless-white.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/itchio-textless-white.svg	(from https://static.itch.io/game.css?1662925820)
21:52:33	35251/35251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-89b3%22	https://static.itch.io/images/logo-textless-white-holiday.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/logo-textless-white-holiday.svg	(from https://static.itch.io/game.css?1662925820)
21:52:33	2773/2773	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db1d9ca-ad5%22	https://static.itch.io/images/itchio-textless-white-halloween.svg?2	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/itchio-textless-white-halloweenc81e.svg	(from https://static.itch.io/game.css?1662925820)
21:52:34	12688/12688	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-3190%22	https://static.itch.io/icons/fonts/icomoon.eot?4ibnvg	C:/Benim%20Web%20Sitem/sea/static.itch.io/icons/fonts/icomoon053c.eot	(from https://static.itch.io/game.css?1662925820)
21:52:34	12524/12524	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-30ec%22	https://static.itch.io/icons/fonts/icomoon.ttf?4ibnvg	C:/Benim%20Web%20Sitem/sea/static.itch.io/icons/fonts/icomoon053c.ttf	(from https://static.itch.io/game.css?1662925820)
21:52:34	12600/12600	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-3138%22	https://static.itch.io/icons/fonts/icomoon.woff?4ibnvg	C:/Benim%20Web%20Sitem/sea/static.itch.io/icons/fonts/icomoon053c.woff	(from https://static.itch.io/game.css?1662925820)
21:52:35	40264/40264	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-9d48%22	https://static.itch.io/icons/fonts/icomoon.svg?4ibnvg	C:/Benim%20Web%20Sitem/sea/static.itch.io/icons/fonts/icomoon053c.svg	(from https://static.itch.io/game.css?1662925820)
21:52:35	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2009%20Apr%202023%2018:52:58%20GMT	http://connect.facebook.net/en_GB/sdk.js	C:/Benim%20Web%20Sitem/sea/connect.facebook.net/en_GB/sdk.45.delayed	(from https://static.itch.io/bundle.min.js?1662925820)
21:52:35	917/917	---MC-	200	added ('OK')	text/javascript	date:Sun,%2009%20Apr%202023%2018:52:57%20GMT	https://www.google.com/recaptcha/api.js?onload=_itch_recaptcha_loaded&render=explicit	C:/Benim%20Web%20Sitem/sea/www.google.com/recaptcha/apie757.js	(from https://static.itch.io/bundle.min.js?1662925820)
21:52:36	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%229b679266a58a5681072aeacbedc1f76e%22	https://connect.facebook.net/en_GB/sdk.js	C:/Benim%20Web%20Sitem/sea/connect.facebook.net/en_GB/sdk.js	(from https://static.itch.io/bundle.min.js?1662925820)
21:52:36	93239/93239	---M-Z	200	added ('OK')	application/javascript	etag:%229e99725b7a4cd730a934afba2a438bb5+gzip%22	http://platform.twitter.com/widgets.js	C:/Benim%20Web%20Sitem/sea/platform.twitter.com/widgets.js	(from https://static.itch.io/bundle.min.js?1662925820)
21:52:37	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22642cb322-247b%22	https://light2live.github.io/ca.gif	C:/Benim%20Web%20Sitem/sea/light2live.github.io/ca.48.delayed	(from https://static.itch.io/bundle.min.js?1662925820)
21:52:37	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22642cb322-247b%22	https://light2live.github.io/POST	C:/Benim%20Web%20Sitem/sea/light2live.github.io/POST.49.delayed	(from https://static.itch.io/bundle.min.js?1662925820)
21:52:38	150/150	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-f9%22	https://static.itch.io/robots.txt		(from https://static.itch.io/game.css?1662925820)
21:52:39	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Apr%202023%2018:53:01%20GMT	https://static.itch.io/home/leafo/snowrepeat.png	C:/Benim%20Web%20Sitem/sea/static.itch.io/home/leafo/snowrepeat.png	(from https://static.itch.io/images/snowrepeat.svg)
21:52:44	164643/164643	---M--	200	added ('OK')	text/javascript	etag:1013725321202001633	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Benim%20Web%20Sitem/sea/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://static.itch.io/game.min.js?1662925820)
